Date,Sector,ValueIndex,VolumeIndex,Year,Month,YearMonth
2024-02-01,Food stores,101.9,100.0,2024,Feb,2024-02
2024-02-01,Household goods,95.9,96.7,2024,Feb,2024-02
2024-02-01,Non-food stores,101.1,100.5,2024,Feb,2024-02
2024-02-01,Non-store retailing,101.7,101.0,2024,Feb,2024-02
2024-03-01,All retail incl. fuel,100.8,99.9,2024,Mar,2024-03
2024-03-01,Clothing & footwear,97.8,96.0,2024,Mar,2024-03
2024-03-01,Food stores,100.8,98.6,2024,Mar,2024-03
2024-03-01,Household goods,96.1,97.0,2024,Mar,2024-03
2024-03-01,Non-food stores,100.7,100.0,2024,Mar,2024-03
2024-03-01,Non-store retailing,100.5,100.2,2024,Mar,2024-03
2024-04-01,All retail incl. fuel,99.7,98.8,2024,Apr,2024-04
2024-04-01,Clothing & footwear,94.9,93.1,2024,Apr,2024-04
2024-04-01,Food stores,100.0,98.0,2024,Apr,2024-04
2024-04-01,Household goods,93.4,94.2,2024,Apr,2024-04
2024-04-01,Non-food stores,98.9,98.3,2024,Apr,2024-04
2024-04-01,Non-store retailing,101.0,100.3,2024,Apr,2024-04
2024-05-01,All retail incl. fuel,102.2,101.2,2024,May,2024-05
2024-05-01,Clothing & footwear,100.3,98.2,2024,May,2024-05
2024-05-01,Food stores,101.1,98.9,2024,May,2024-05
2024-05-01,Household goods,96.8,98.2,2024,May,2024-05
2024-05-01,Non-food stores,102.1,101.5,2024,May,2024-05
2024-05-01,Non-store retailing,106.6,106.6,2024,May,2024-05
2024-06-01,All retail incl. fuel,100.4,99.5,2024,Jun,2024-06
2024-06-01,Clothing & footwear,98.0,96.5,2024,Jun,2024-06
2024-06-01,Food stores,99.8,97.3,2024,Jun,2024-06
2024-06-01,Household goods,94.1,95.3,2024,Jun,2024-06
2024-06-01,Non-food stores,99.8,99.5,2024,Jun,2024-06
2024-06-01,Non-store retailing,103.9,104.0,2024,Jun,2024-06
2024-07-01,All retail incl. fuel,101.3,100.4,2024,Jul,2024-07
2024-07-01,Clothing & footwear,98.1,96.1,2024,Jul,2024-07
2024-07-01,Food stores,100.9,98.2,2024,Jul,2024-07
2024-07-01,Household goods,93.3,94.7,2024,Jul,2024-07
2024-07-01,Non-food stores,101.2,100.7,2024,Jul,2024-07
2024-07-01,Non-store retailing,104.7,104.6,2024,Jul,2024-07
2024-08-01,All retail incl. fuel,101.7,100.8,2024,Aug,2024-08
2024-08-01,Clothing & footwear,99.7,97.9,2024,Aug,2024-08
2024-08-01,Food stores,102.2,99.4,2024,Aug,2024-08
2024-08-01,Household goods,95.1,96.6,2024,Aug,2024-08
2024-08-01,Non-food stores,101.6,101.2,2024,Aug,2024-08
2024-08-01,Non-store retailing,101.9,102.2,2024,Aug,2024-08
2024-09-01,All retail incl. fuel,101.3,100.8,2024,Sep,2024-09
2024-09-01,Clothing & footwear,99.2,97.3,2024,Sep,2024-09
2024-09-01,Food stores,101.3,98.3,2024,Sep,2024-09
2024-09-01,Household goods,95.1,96.8,2024,Sep,2024-09
2024-09-01,Non-food stores,102.7,102.4,2024,Sep,2024-09
2024-09-01,Non-store retailing,102.1,102.5,2024,Sep,2024-09
2024-10-01,All retail incl. fuel,100.6,100.1,2024,Oct,2024-10
2024-10-01,Clothing & footwear,97.4,95.5,2024,Oct,2024-10
2024-10-01,Food stores,100.8,97.5,2024,Oct,2024-10
2024-10-01,Household goods,95.1,96.6,2024,Oct,2024-10
2024-10-01,Non-food stores,101.5,101.1,2024,Oct,2024-10
2024-10-01,Non-store retailing,101.9,102.2,2024,Oct,2024-10
2024-11-01,All retail incl. fuel,100.9,100.1,2024,Nov,2024-11
2024-11-01,Clothing & footwear,93.9,91.5,2024,Nov,2024-11
2024-11-01,Food stores,101.5,97.9,2024,Nov,2024-11
2024-11-01,Household goods,95.0,96.8,2024,Nov,2024-11
2024-11-01,Non-food stores,101.5,100.8,2024,Nov,2024-11
2024-11-01,Non-store retailing,102.7,102.9,2024,Nov,2024-11
2024-12-01,All retail incl. fuel,101.5,100.2,2024,Dec,2024-12
2024-12-01,Clothing & footwear,97.8,95.4,2024,Dec,2024-12
2024-12-01,Food stores,101.8,97.9,2024,Dec,2024-12
2024-12-01,Household goods,97.2,98.7,2024,Dec,2024-12
2024-12-01,Non-food stores,103.2,102.4,2024,Dec,2024-12
2024-12-01,Non-store retailing,100.3,99.9,2024,Dec,2024-12
2025-01-01,All retail incl. fuel,101.2,99.1,2025,Jan,2025-01
2025-01-01,Clothing & footwear,96.1,93.5,2025,Jan,2025-01
2025-01-01,Food stores,103.9,99.0,2025,Jan,2025-01
2025-01-01,Household goods,95.9,96.6,2025,Jan,2025-01
2025-01-01,Non-food stores,100.8,99.4,2025,Jan,2025-01
2025-01-01,Non-store retailing,96.7,95.6,2025,Jan,2025-01
2025-02-01,All retail incl. fuel,103.4,101.2,2025,Feb,2025-02
2025-02-01,Clothing & footwear,99.5,97.6,2025,Feb,2025-02
2025-02-01,Food stores,103.3,98.3,2025,Feb,2025-02
2025-02-01,Household goods,102.2,103.6,2025,Feb,2025-02
2025-02-01,Non-food stores,104.5,103.6,2025,Feb,2025-02
2025-02-01,Non-store retailing,102.3,101.6,2025,Feb,2025-02
2025-03-01,All retail incl. fuel,103.6,102.1,2025,Mar,2025-03
2025-03-01,Clothing & footwear,101.1,98.3,2025,Mar,2025-03
2025-03-01,Food stores,104.0,99.1,2025,Mar,2025-03
2025-03-01,Household goods,98.5,100.3,2025,Mar,2025-03
2025-03-01,Non-food stores,105.0,104.2,2025,Mar,2025-03
2025-03-01,Non-store retailing,104.6,105.2,2025,Mar,2025-03
2025-04-01,All retail incl. fuel,103.1,102.1,2025,Apr,2025-04
2025-04-01,Clothing & footwear,99.7,98.0,2025,Apr,2025-04
2025-04-01,Food stores,104.5,99.4,2025,Apr,2025-04
2025-04-01,Household goods,97.2,100.0,2025,Apr,2025-04
